Round: 1 | Move: up    | Time spent: 0.39s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [2, 2, 0, 0]]
Round: 2 | Move: up    | Time spent: 0.44s | Reached depth: 3 | Max tile: 2 | state: [[2, 2, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 3 | Move: down  | Time spent: 0.93s | Reached depth: 3 | Max tile: 4 | state: [[4, 2, 0, 0], [0, 0, 0, 0], [0, 0, 0, 2], [0, 0, 0, 0]]
Round: 4 | Move: left  | Time spent: 0.67s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 4, 0, 0], [4, 2, 0, 2]]
Round: 5 | Move: left  | Time spent: 0.68s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 0], [0, 2, 0, 0], [4, 0, 0, 0], [4, 4, 0, 0]]
Round: 6 | Move: left  | Time spent: 0.83s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [2, 0, 2, 0], [4, 0, 0, 0], [8, 0, 0, 0]]
Round: 7 | Move: left  | Time spent: 0.68s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [4, 0, 2, 0], [4, 0, 0, 0], [8, 0, 0, 0]]
Round: 8 | Move: left  | Time spent: 0.23s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [4, 2, 0, 0], [4, 0, 0, 2], [8, 0, 0, 0]]
Round: 9 | Move: left  | Time spent: 0.40s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [4, 2, 0, 0], [4, 2, 0, 0], [8, 0, 2, 0]]
Round: 10 | Move: left  | Time spent: 0.31s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [4, 2, 0, 2], [4, 2, 0, 0], [8, 2, 0, 0]]
Round: 11 | Move: up    | Time spent: 0.98s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [4, 4, 0, 0], [4, 2, 0, 0], [8, 2, 2, 0]]
Round: 12 | Move: up    | Time spent: 0.36s | Reached depth: 3 | Max tile: 8 | state: [[8, 4, 2, 0], [8, 4, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 13 | Move: right | Time spent: 0.80s | Reached depth: 3 | Max tile: 16 | state: [[16, 8, 4, 0], [0, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 14 | Move: right | Time spent: 0.09s | Reached depth: 3 | Max tile: 16 | state: [[0, 16, 8, 4], [0, 0, 4, 4], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 15 | Move: down  | Time spent: 0.19s | Reached depth: 3 | Max tile: 16 | state: [[2, 16, 8, 4], [0, 0, 0, 8], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 16 | Move: right | Time spent: 1.22s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 4], [2, 16, 8, 8]]
Round: 17 | Move: down  | Time spent: 0.52s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 4], [2, 2, 16, 16]]
Round: 18 | Move: left  | Time spent: 0.91s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [0, 2, 0, 4], [2, 2, 16, 16]]
Round: 19 | Move: right | Time spent: 1.35s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [2, 0, 0, 0], [2, 4, 0, 2], [4, 32, 0, 0]]
Round: 20 | Move: down  | Time spent: 0.48s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [0, 2, 4, 2], [0, 2, 4, 32]]
Round: 21 | Move: right | Time spent: 0.41s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 4, 0], [0, 0, 0, 0], [0, 0, 0, 4], [0, 4, 8, 32]]
Round: 22 | Move: down  | Time spent: 1.04s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 4], [0, 0, 0, 0], [2, 0, 0, 4], [0, 4, 8, 32]]
Round: 23 | Move: down  | Time spent: 0.47s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 4, 0, 0], [0, 0, 0, 8], [2, 4, 8, 32]]
Round: 24 | Move: down  | Time spent: 1.23s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 0, 2, 0], [0, 0, 0, 8], [2, 8, 8, 32]]
Round: 25 | Move: down  | Time spent: 0.36s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 2, 0], [0, 0, 0, 0], [0, 0, 2, 8], [2, 8, 8, 32]]
Round: 26 | Move: right | Time spent: 0.60s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [0, 0, 4, 8], [2, 8, 8, 32]]
Round: 27 | Move: up    | Time spent: 0.97s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 2], [0, 0, 0, 2], [0, 0, 4, 8], [0, 2, 16, 32]]
