Round: 1 | Move: down  | Time spent: 0.74s | Reached depth: 3
Round: 2 | Move: down  | Time spent: 0.40s | Reached depth: 3
Round: 3 | Move: right | Time spent: 0.36s | Reached depth: 3
Round: 4 | Move: up    | Time spent: 13.89s | Reached depth: 4
Round: 5 | Move: down  | Time spent: 0.58s | Reached depth: 3
Round: 6 | Move: right | Time spent: 16.34s | Reached depth: 4
Round: 7 | Move: right | Time spent: 7.88s | Reached depth: 4
Round: 8 | Move: left  | Time spent: 0.41s | Reached depth: 3
Round: 9 | Move: left  | Time spent: 0.42s | Reached depth: 3
Round: 10 | Move: right | Time spent: 0.55s | Reached depth: 3
Round: 11 | Move: right | Time spent: 9.28s | Reached depth: 4
Round: 12 | Move: up    | Time spent: 0.48s | Reached depth: 3
Round: 13 | Move: up    | Time spent: 3.73s | Reached depth: 3
Round: 14 | Move: down  | Time spent: 0.63s | Reached depth: 3
Round: 15 | Move: left  | Time spent: 0.44s | Reached depth: 3
Round: 16 | Move: down  | Time spent: 0.54s | Reached depth: 3
Round: 17 | Move: down  | Time spent: 0.46s | Reached depth: 3
Round: 18 | Move: left  | Time spent: 0.39s | Reached depth: 3
Round: 19 | Move: down  | Time spent: 0.54s | Reached depth: 3
Round: 20 | Move: left  | Time spent: 0.42s | Reached depth: 3
Round: 21 | Move: up    | Time spent: 0.32s | Reached depth: 3
Round: 22 | Move: left  | Time spent: 0.46s | Reached depth: 3
Round: 23 | Move: down  | Time spent: 0.36s | Reached depth: 3
Round: 24 | Move: up    | Time spent: 11.95s | Reached depth: 4
Round: 25 | Move: down  | Time spent: 0.48s | Reached depth: 3
Round: 26 | Move: left  | Time spent: 0.44s | Reached depth: 3
Round: 27 | Move: left  | Time spent: 0.38s | Reached depth: 3
Round: 28 | Move: up    | Time spent: 0.41s | Reached depth: 3
Round: 29 | Move: down  | Time spent: 0.34s | Reached depth: 3
Round: 30 | Move: left  | Time spent: 0.36s | Reached depth: 3
Round: 31 | Move: left  | Time spent: 6.78s | Reached depth: 4
Round: 32 | Move: up    | Time spent: 4.82s | Reached depth: 3
Round: 33 | Move: left  | Time spent: 0.31s | Reached depth: 3
Round: 34 | Move: left  | Time spent: 2.91s | Reached depth: 4
Round: 35 | Move: left  | Time spent: 2.20s | Reached depth: 4
Round: 36 | Move: right | Time spent: 3.69s | Reached depth: 4
Round: 37 | Move: left  | Time spent: 0.46s | Reached depth: 3
Round: 38 | Move: left  | Time spent: 1.52s | Reached depth: 4
Round: 39 | Move: up    | Time spent: 1.37s | Reached depth: 4
Round: 40 | Move: left  | Time spent: 8.21s | Reached depth: 4
Round: 41 | Move: down  | Time spent: 0.57s | Reached depth: 3
Round: 42 | Move: up    | Time spent: 0.51s | Reached depth: 3
Round: 43 | Move: left  | Time spent: 0.34s | Reached depth: 3
Round: 44 | Move: up    | Time spent: 4.93s | Reached depth: 4
Round: 45 | Move: up    | Time spent: 3.63s | Reached depth: 4
Round: 46 | Move: right | Time spent: 12.99s | Reached depth: 4
Round: 47 | Move: up    | Time spent: 0.38s | Reached depth: 3
Round: 48 | Move: left  | Time spent: 0.56s | Reached depth: 3
Round: 49 | Move: down  | Time spent: 5.98s | Reached depth: 4
Round: 50 | Move: left  | Time spent: 0.36s | Reached depth: 3
Round: 51 | Move: left  | Time spent: 5.31s | Reached depth: 4
Round: 52 | Move: down  | Time spent: 0.50s | Reached depth: 3
Round: 53 | Move: up    | Time spent: 0.37s | Reached depth: 3
Round: 54 | Move: left  | Time spent: 0.39s | Reached depth: 3
Round: 55 | Move: left  | Time spent: 4.79s | Reached depth: 4
Round: 56 | Move: up    | Time spent: 0.36s | Reached depth: 3
Round: 57 | Move: down  | Time spent: 0.48s | Reached depth: 3
Round: 58 | Move: down  | Time spent: 9.37s | Reached depth: 4
Round: 59 | Move: left  | Time spent: 2.39s | Reached depth: 4
Round: 60 | Move: left  | Time spent: 3.47s | Reached depth: 4
Round: 61 | Move: down  | Time spent: 0.80s | Reached depth: 4
Round: 62 | Move: down  | Time spent: 1.77s | Reached depth: 4
Round: 63 | Move: left  | Time spent: 3.36s | Reached depth: 4
Round: 64 | Move: up    | Time spent: 5.89s | Reached depth: 4
Round: 65 | Move: left  | Time spent: 3.81s | Reached depth: 4
Round: 66 | Move: up    | Time spent: 15.01s | Reached depth: 4
Round: 67 | Move: left  | Time spent: 3.38s | Reached depth: 4
Round: 68 | Move: up    | Time spent: 3.13s | Reached depth: 4
Round: 69 | Move: up    | Time spent: 3.27s | Reached depth: 4
Round: 70 | Move: down  | Time spent: 2.60s | Reached depth: 4
Round: 71 | Move: left  | Time spent: 1.57s | Reached depth: 4
Round: 72 | Move: up    | Time spent: 2.12s | Reached depth: 4
Round: 73 | Move: up    | Time spent: 2.31s | Reached depth: 4
Round: 74 | Move: up    | Time spent: 1.49s | Reached depth: 4
Round: 75 | Move: down  | Time spent: 2.18s | Reached depth: 4
Round: 76 | Move: up    | Time spent: 9.51s | Reached depth: 4
Round: 77 | Move: down  | Time spent: 0.69s | Reached depth: 4
Round: 78 | Move: up    | Time spent: 0.55s | Reached depth: 4
Round: 79 | Move: left  | Time spent: 0.34s | Reached depth: 4
Round: 80 | Move: left  | Time spent: 2.88s | Reached depth: 4
Round: 81 | Move: left  | Time spent: 1.49s | Reached depth: 5
Round: 82 | Move: up    | Time spent: 4.50s | Reached depth: 5
Round: 83 | Move: left  | Time spent: 0.64s | Reached depth: 4
Round: 84 | Move: left  | Time spent: 0.58s | Reached depth: 4
Round: 85 | Move: left  | Time spent: 2.13s | Reached depth: 4
Round: 86 | Move: left  | Time spent: 1.85s | Reached depth: 4
Round: 87 | Move: left  | Time spent: 1.56s | Reached depth: 4
Round: 88 | Move: up    | Time spent: 1.49s | Reached depth: 4
Round: 89 | Move: left  | Time spent: 1.58s | Reached depth: 4
Round: 90 | Move: down  | Time spent: 3.00s | Reached depth: 4
Round: 91 | Move: left  | Time spent: 2.08s | Reached depth: 4
Round: 92 | Move: up    | Time spent: 3.36s | Reached depth: 4
Round: 93 | Move: down  | Time spent: 2.37s | Reached depth: 4
Round: 94 | Move: down  | Time spent: 13.26s | Reached depth: 4
Round: 95 | Move: left  | Time spent: 2.24s | Reached depth: 4
Round: 96 | Move: down  | Time spent: 3.35s | Reached depth: 4
Round: 97 | Move: left  | Time spent: 2.37s | Reached depth: 4
Round: 98 | Move: up    | Time spent: 4.04s | Reached depth: 4
Round: 99 | Move: down  | Time spent: 5.39s | Reached depth: 4
Round: 100 | Move: up    | Time spent: 0.48s | Reached depth: 3
Round: 101 | Move: left  | Time spent: 0.40s | Reached depth: 3
Round: 102 | Move: left  | Time spent: 2.06s | Reached depth: 4
Round: 103 | Move: left  | Time spent: 1.76s | Reached depth: 4
Round: 104 | Move: up    | Time spent: 4.83s | Reached depth: 4
Round: 105 | Move: left  | Time spent: 0.31s | Reached depth: 3
Round: 106 | Move: up    | Time spent: 2.84s | Reached depth: 4
Round: 107 | Move: left  | Time spent: 0.31s | Reached depth: 3
Round: 108 | Move: left  | Time spent: 1.59s | Reached depth: 4
Round: 109 | Move: up    | Time spent: 2.45s | Reached depth: 4
Round: 110 | Move: up    | Time spent: 2.96s | Reached depth: 4
Round: 111 | Move: left  | Time spent: 3.40s | Reached depth: 4
Round: 112 | Move: up    | Time spent: 2.99s | Reached depth: 4
Round: 113 | Move: down  | Time spent: 3.05s | Reached depth: 4
Round: 114 | Move: up    | Time spent: 2.91s | Reached depth: 4
Round: 115 | Move: down  | Time spent: 3.07s | Reached depth: 4
Round: 116 | Move: up    | Time spent: 2.83s | Reached depth: 4
Round: 117 | Move: up    | Time spent: 1.23s | Reached depth: 4
Round: 118 | Move: left  | Time spent: 1.07s | Reached depth: 4
Round: 119 | Move: down  | Time spent: 2.38s | Reached depth: 4
Round: 120 | Move: left  | Time spent: 1.63s | Reached depth: 4
Round: 121 | Move: down  | Time spent: 1.67s | Reached depth: 4
Round: 122 | Move: down  | Time spent: 2.39s | Reached depth: 4
Round: 123 | Move: up    | Time spent: 3.25s | Reached depth: 4
Round: 124 | Move: left  | Time spent: 1.37s | Reached depth: 4
Round: 125 | Move: down  | Time spent: 2.06s | Reached depth: 4
Round: 126 | Move: down  | Time spent: 3.63s | Reached depth: 4
Round: 127 | Move: left  | Time spent: 14.45s | Reached depth: 4
Round: 128 | Move: down  | Time spent: 1.92s | Reached depth: 4
Round: 129 | Move: left  | Time spent: 2.49s | Reached depth: 4
Round: 130 | Move: up    | Time spent: 5.13s | Reached depth: 4
Round: 131 | Move: up    | Time spent: 5.50s | Reached depth: 4
Round: 132 | Move: left  | Time spent: 0.45s | Reached depth: 3
Round: 133 | Move: up    | Time spent: 0.33s | Reached depth: 3
Round: 134 | Move: left  | Time spent: 0.66s | Reached depth: 3
