Round: 1 | Move: up    | Time spent: 0.68s | Reached depth: 3
Round: 2 | Move: down  | Time spent: 0.43s | Reached depth: 3
Round: 3 | Move: down  | Time spent: 3.40s | Reached depth: 4
Round: 4 | Move: left  | Time spent: 0.84s | Reached depth: 3
Round: 5 | Move: up    | Time spent: 0.33s | Reached depth: 3
Round: 6 | Move: down  | Time spent: 0.32s | Reached depth: 3
Round: 7 | Move: up    | Time spent: 1.06s | Reached depth: 3
Round: 8 | Move: left  | Time spent: 1.62s | Reached depth: 3
Round: 9 | Move: down  | Time spent: 0.40s | Reached depth: 3
Round: 10 | Move: left  | Time spent: 6.77s | Reached depth: 4
Round: 11 | Move: left  | Time spent: 13.42s | Reached depth: 4
Round: 12 | Move: left  | Time spent: 0.32s | Reached depth: 3
Round: 13 | Move: left  | Time spent: 14.07s | Reached depth: 4
Round: 14 | Move: right | Time spent: 13.20s | Reached depth: 4
Round: 15 | Move: up    | Time spent: 0.64s | Reached depth: 3
Round: 16 | Move: up    | Time spent: 0.32s | Reached depth: 3
Round: 17 | Move: up    | Time spent: 12.34s | Reached depth: 4
Round: 18 | Move: up    | Time spent: 0.49s | Reached depth: 3
Round: 19 | Move: right | Time spent: 0.40s | Reached depth: 3
Round: 20 | Move: right | Time spent: 3.71s | Reached depth: 3
Round: 21 | Move: down  | Time spent: 4.47s | Reached depth: 4
Round: 22 | Move: down  | Time spent: 0.47s | Reached depth: 3
Round: 23 | Move: right | Time spent: 0.92s | Reached depth: 3
Round: 24 | Move: up    | Time spent: 17.04s | Reached depth: 4
Round: 25 | Move: down  | Time spent: 0.52s | Reached depth: 3
Round: 26 | Move: up    | Time spent: 0.42s | Reached depth: 3
Round: 27 | Move: down  | Time spent: 8.71s | Reached depth: 4
Round: 28 | Move: right | Time spent: 0.46s | Reached depth: 3
Round: 29 | Move: right | Time spent: 4.11s | Reached depth: 4
Round: 30 | Move: right | Time spent: 6.25s | Reached depth: 4
Round: 31 | Move: down  | Time spent: 0.37s | Reached depth: 3
Round: 32 | Move: down  | Time spent: 0.37s | Reached depth: 3
Round: 33 | Move: right | Time spent: 0.56s | Reached depth: 3
Round: 34 | Move: right | Time spent: 0.61s | Reached depth: 3
Round: 35 | Move: right | Time spent: 11.63s | Reached depth: 4
Round: 36 | Move: up    | Time spent: 21.86s | Reached depth: 4
Round: 37 | Move: right | Time spent: 1.43s | Reached depth: 3
Round: 38 | Move: down  | Time spent: 0.43s | Reached depth: 3
Round: 39 | Move: right | Time spent: 0.75s | Reached depth: 3
Round: 40 | Move: up    | Time spent: 8.99s | Reached depth: 4
Round: 41 | Move: right | Time spent: 0.96s | Reached depth: 3
Round: 42 | Move: right | Time spent: 0.32s | Reached depth: 3
Round: 43 | Move: down  | Time spent: 0.45s | Reached depth: 3
Round: 44 | Move: right | Time spent: 0.55s | Reached depth: 3
Round: 45 | Move: right | Time spent: 0.39s | Reached depth: 3
Round: 46 | Move: right | Time spent: 4.45s | Reached depth: 4
Round: 47 | Move: down  | Time spent: 0.42s | Reached depth: 3
Round: 48 | Move: right | Time spent: 0.39s | Reached depth: 3
Round: 49 | Move: down  | Time spent: 8.81s | Reached depth: 3
Round: 50 | Move: up    | Time spent: 0.58s | Reached depth: 3
Round: 51 | Move: right | Time spent: 0.72s | Reached depth: 3
Round: 52 | Move: left  | Time spent: 0.53s | Reached depth: 3
Round: 53 | Move: left  | Time spent: 0.38s | Reached depth: 3
Round: 54 | Move: left  | Time spent: 0.54s | Reached depth: 3
Round: 55 | Move: down  | Time spent: 0.42s | Reached depth: 3
Round: 56 | Move: left  | Time spent: 0.43s | Reached depth: 3
Round: 57 | Move: left  | Time spent: 5.21s | Reached depth: 4
Round: 58 | Move: down  | Time spent: 0.41s | Reached depth: 3
Round: 59 | Move: right | Time spent: 0.43s | Reached depth: 3
Round: 60 | Move: down  | Time spent: 0.40s | Reached depth: 3
Round: 61 | Move: down  | Time spent: 0.43s | Reached depth: 3
Round: 62 | Move: right | Time spent: 0.41s | Reached depth: 3
Round: 63 | Move: left  | Time spent: 7.49s | Reached depth: 4
Round: 64 | Move: down  | Time spent: 0.41s | Reached depth: 3
Round: 65 | Move: left  | Time spent: 4.52s | Reached depth: 4
Round: 66 | Move: left  | Time spent: 4.53s | Reached depth: 4
Round: 67 | Move: left  | Time spent: 12.56s | Reached depth: 4
Round: 68 | Move: down  | Time spent: 3.25s | Reached depth: 4
Round: 69 | Move: left  | Time spent: 0.32s | Reached depth: 3
Round: 70 | Move: left  | Time spent: 3.79s | Reached depth: 4
Round: 71 | Move: down  | Time spent: 0.37s | Reached depth: 3
Round: 72 | Move: down  | Time spent: 3.45s | Reached depth: 4
Round: 73 | Move: left  | Time spent: 1.40s | Reached depth: 4
Round: 74 | Move: left  | Time spent: 1.41s | Reached depth: 4
Round: 75 | Move: down  | Time spent: 1.90s | Reached depth: 4
Round: 76 | Move: down  | Time spent: 1.45s | Reached depth: 4
Round: 77 | Move: right | Time spent: 2.10s | Reached depth: 4
Round: 78 | Move: left  | Time spent: 1.74s | Reached depth: 4
Round: 79 | Move: right | Time spent: 1.30s | Reached depth: 4
Round: 80 | Move: left  | Time spent: 0.56s | Reached depth: 4
Round: 81 | Move: down  | Time spent: 0.52s | Reached depth: 4
Round: 82 | Move: left  | Time spent: 4.72s | Reached depth: 5
Round: 83 | Move: down  | Time spent: 3.63s | Reached depth: 5
Round: 84 | Move: left  | Time spent: 0.67s | Reached depth: 4
Round: 85 | Move: down  | Time spent: 0.41s | Reached depth: 4
Round: 86 | Move: down  | Time spent: 0.33s | Reached depth: 4
Round: 87 | Move: down  | Time spent: 0.68s | Reached depth: 4
Round: 88 | Move: left  | Time spent: 12.64s | Reached depth: 4
Round: 89 | Move: left  | Time spent: 1.07s | Reached depth: 4
Round: 90 | Move: right | Time spent: 1.37s | Reached depth: 4
Round: 91 | Move: right | Time spent: 0.89s | Reached depth: 4
Round: 92 | Move: right | Time spent: 0.69s | Reached depth: 4
Round: 93 | Move: right | Time spent: 0.81s | Reached depth: 4
Round: 94 | Move: down  | Time spent: 0.44s | Reached depth: 4
Round: 95 | Move: left  | Time spent: 1.47s | Reached depth: 4
Round: 96 | Move: down  | Time spent: 3.22s | Reached depth: 4
Round: 97 | Move: left  | Time spent: 0.32s | Reached depth: 3
Round: 98 | Move: down  | Time spent: 2.14s | Reached depth: 4
Round: 99 | Move: left  | Time spent: 3.49s | Reached depth: 4
Round: 100 | Move: down  | Time spent: 0.39s | Reached depth: 3
Round: 101 | Move: right | Time spent: 1.47s | Reached depth: 4
Round: 102 | Move: down  | Time spent: 4.31s | Reached depth: 4
Round: 103 | Move: left  | Time spent: 0.53s | Reached depth: 3
Round: 104 | Move: down  | Time spent: 0.53s | Reached depth: 3
Round: 105 | Move: right | Time spent: 1.85s | Reached depth: 4
Round: 106 | Move: right | Time spent: 3.38s | Reached depth: 4
Round: 107 | Move: down  | Time spent: 0.31s | Reached depth: 3
Round: 108 | Move: right | Time spent: 0.39s | Reached depth: 3
Round: 109 | Move: right | Time spent: 3.33s | Reached depth: 4
Round: 110 | Move: down  | Time spent: 0.30s | Reached depth: 3
Round: 111 | Move: down  | Time spent: 2.15s | Reached depth: 4
Round: 112 | Move: down  | Time spent: 2.20s | Reached depth: 4
Round: 113 | Move: left  | Time spent: 15.53s | Reached depth: 4
Round: 114 | Move: down  | Time spent: 2.07s | Reached depth: 4
Round: 115 | Move: down  | Time spent: 2.26s | Reached depth: 4
Round: 116 | Move: down  | Time spent: 0.38s | Reached depth: 3
Round: 117 | Move: down  | Time spent: 2.34s | Reached depth: 4
Round: 118 | Move: up    | Time spent: 4.22s | Reached depth: 4
Round: 119 | Move: right | Time spent: 0.46s | Reached depth: 3
Round: 120 | Move: right | Time spent: 2.10s | Reached depth: 4
Round: 121 | Move: up    | Time spent: 4.13s | Reached depth: 4
Round: 122 | Move: right | Time spent: 0.44s | Reached depth: 3
Round: 123 | Move: right | Time spent: 2.16s | Reached depth: 4
Round: 124 | Move: up    | Time spent: 1.79s | Reached depth: 4
Round: 125 | Move: right | Time spent: 1.94s | Reached depth: 4
Round: 126 | Move: down  | Time spent: 0.89s | Reached depth: 4
Round: 127 | Move: right | Time spent: 1.81s | Reached depth: 4
Round: 128 | Move: up    | Time spent: 1.61s | Reached depth: 4
Round: 129 | Move: down  | Time spent: 2.14s | Reached depth: 4
Round: 130 | Move: up    | Time spent: 0.31s | Reached depth: 3
Round: 131 | Move: right | Time spent: 0.32s | Reached depth: 3
Round: 132 | Move: right | Time spent: 2.05s | Reached depth: 4
Round: 133 | Move: up    | Time spent: 2.42s | Reached depth: 4
Round: 134 | Move: up    | Time spent: 0.35s | Reached depth: 3
Round: 135 | Move: down  | Time spent: 17.21s | Reached depth: 4
Round: 136 | Move: right | Time spent: 3.10s | Reached depth: 4
Round: 137 | Move: down  | Time spent: 1.57s | Reached depth: 4
Round: 138 | Move: up    | Time spent: 0.52s | Reached depth: 4
Round: 139 | Move: up    | Time spent: 1.74s | Reached depth: 4
Round: 140 | Move: down  | Time spent: 0.83s | Reached depth: 4
Round: 141 | Move: right | Time spent: 0.97s | Reached depth: 4
Round: 142 | Move: left  | Time spent: 3.41s | Reached depth: 4
Round: 143 | Move: left  | Time spent: 3.81s | Reached depth: 4
Round: 144 | Move: down  | Time spent: 0.35s | Reached depth: 3
Round: 145 | Move: down  | Time spent: 3.11s | Reached depth: 4
Round: 146 | Move: left  | Time spent: 2.92s | Reached depth: 4
Round: 147 | Move: right | Time spent: 0.40s | Reached depth: 3
Round: 148 | Move: down  | Time spent: 5.59s | Reached depth: 4
Round: 149 | Move: right | Time spent: 3.28s | Reached depth: 4
Round: 150 | Move: left  | Time spent: 0.47s | Reached depth: 3
Round: 151 | Move: up    | Time spent: 3.31s | Reached depth: 4
Round: 152 | Move: left  | Time spent: 0.35s | Reached depth: 3
Round: 153 | Move: up    | Time spent: 2.93s | Reached depth: 4
Round: 154 | Move: up    | Time spent: 2.25s | Reached depth: 4
Round: 155 | Move: left  | Time spent: 1.56s | Reached depth: 4
Round: 156 | Move: right | Time spent: 2.50s | Reached depth: 4
Round: 157 | Move: up    | Time spent: 3.48s | Reached depth: 4
Round: 158 | Move: right | Time spent: 0.48s | Reached depth: 3
Round: 159 | Move: left  | Time spent: 0.33s | Reached depth: 3
Round: 160 | Move: up    | Time spent: 0.32s | Reached depth: 3
Round: 161 | Move: right | Time spent: 17.98s | Reached depth: 3
Round: 162 | Move: right | Time spent: 10.33s | Reached depth: 4
Round: 163 | Move: up    | Time spent: 6.71s | Reached depth: 4
Round: 164 | Move: left  | Time spent: 0.56s | Reached depth: 3
Round: 165 | Move: up    | Time spent: 0.43s | Reached depth: 3
Round: 166 | Move: down  | Time spent: 18.66s | Reached depth: 4
Round: 167 | Move: up    | Time spent: 0.74s | Reached depth: 3
Round: 168 | Move: right | Time spent: 1.07s | Reached depth: 3
Round: 169 | Move: right | Time spent: 3.13s | Reached depth: 4
Round: 170 | Move: left  | Time spent: 4.63s | Reached depth: 4
Round: 171 | Move: down  | Time spent: 1.09s | Reached depth: 3
Round: 172 | Move: down  | Time spent: 0.33s | Reached depth: 3
Round: 173 | Move: left  | Time spent: 0.48s | Reached depth: 3
Round: 174 | Move: up    | Time spent: 0.37s | Reached depth: 3
Round: 175 | Move: left  | Time spent: 0.44s | Reached depth: 3
Round: 176 | Move: up    | Time spent: 4.69s | Reached depth: 4
Round: 177 | Move: right | Time spent: 0.40s | Reached depth: 3
Round: 178 | Move: up    | Time spent: 23.73s | Reached depth: 4
Round: 179 | Move: right | Time spent: 0.58s | Reached depth: 3
Round: 180 | Move: up    | Time spent: 0.44s | Reached depth: 3
Round: 181 | Move: left  | Time spent: 3.08s | Reached depth: 4
Round: 182 | Move: up    | Time spent: 0.32s | Reached depth: 3
Round: 183 | Move: right | Time spent: 0.44s | Reached depth: 3
Round: 184 | Move: up    | Time spent: 0.42s | Reached depth: 3
Round: 185 | Move: left  | Time spent: 2.79s | Reached depth: 4
Round: 186 | Move: up    | Time spent: 3.37s | Reached depth: 4
Round: 187 | Move: right | Time spent: 0.42s | Reached depth: 3
Round: 188 | Move: right | Time spent: 2.78s | Reached depth: 4
Round: 189 | Move: up    | Time spent: 5.70s | Reached depth: 4
Round: 190 | Move: left  | Time spent: 0.43s | Reached depth: 3
Round: 191 | Move: right | Time spent: 0.61s | Reached depth: 3
