Round: 1 | Move: down  | Time spent: 0.71s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [0, 2, 0, 0], [0, 0, 0, 0]]
Round: 2 | Move: right | Time spent: 0.55s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 2, 2, 2]]
Round: 3 | Move: down  | Time spent: 6.08s | Reached depth: 4 | Max tile: 4 | state: [[0, 0, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 4]]
Round: 4 | Move: down  | Time spent: 0.36s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0], [2, 0, 2, 4]]
Round: 5 | Move: right | Time spent: 1.05s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0], [4, 0, 2, 4]]
Round: 6 | Move: up    | Time spent: 5.52s | Reached depth: 4 | Max tile: 4 | state: [[0, 2, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0], [0, 4, 2, 4]]
Round: 7 | Move: up    | Time spent: 1.43s | Reached depth: 3 | Max tile: 4 | state: [[0, 2, 2, 2], [0, 4, 0, 4], [0, 0, 0, 0], [2, 0, 0, 0]]
Round: 8 | Move: left  | Time spent: 0.64s | Reached depth: 3 | Max tile: 4 | state: [[2, 2, 2, 2], [0, 4, 0, 4], [4, 0, 0, 0], [0, 0, 0, 0]]
Round: 9 | Move: left  | Time spent: 0.32s | Reached depth: 3 | Max tile: 8 | state: [[4, 4, 0, 0], [8, 0, 0, 0], [4, 0, 2, 0], [0, 0, 0, 0]]
Round: 10 | Move: right | Time spent: 0.53s | Reached depth: 3 | Max tile: 8 | state: [[8, 0, 0, 0], [8, 0, 0, 0], [4, 2, 0, 0], [0, 2, 0, 0]]
Round: 11 | Move: left  | Time spent: 19.39s | Reached depth: 4 | Max tile: 8 | state: [[0, 0, 0, 8], [0, 0, 0, 8], [0, 2, 4, 2], [0, 0, 0, 2]]
Round: 12 | Move: down  | Time spent: 0.33s | Reached depth: 3 | Max tile: 8 | state: [[8, 0, 0, 0], [8, 0, 0, 0], [2, 4, 2, 0], [2, 2, 0, 0]]
Round: 13 | Move: up    | Time spent: 0.60s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [16, 4, 0, 2], [4, 2, 2, 0]]
Round: 14 | Move: up    | Time spent: 0.40s | Reached depth: 3 | Max tile: 16 | state: [[16, 4, 2, 2], [4, 2, 0, 0], [0, 2, 0, 0], [0, 0, 0, 0]]
Round: 15 | Move: up    | Time spent: 0.36s | Reached depth: 3 | Max tile: 16 | state: [[16, 4, 2, 2], [4, 4, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 16 | Move: up    | Time spent: 0.43s | Reached depth: 3 | Max tile: 16 | state: [[16, 8, 4, 2], [4, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 0]]
Round: 17 | Move: right | Time spent: 0.34s | Reached depth: 3 | Max tile: 16 | state: [[16, 8, 4, 2], [4, 0, 2, 0], [0, 0, 0, 0], [0, 0, 0, 2]]
Round: 18 | Move: up    | Time spent: 3.45s | Reached depth: 4 | Max tile: 16 | state: [[16, 8, 4, 2], [0, 0, 4, 2], [0, 0, 0, 2], [0, 0, 0, 2]]
Round: 19 | Move: up    | Time spent: 7.59s | Reached depth: 4 | Max tile: 16 | state: [[16, 8, 8, 4], [0, 0, 0, 4], [0, 0, 0, 0], [0, 2, 0, 0]]
Round: 20 | Move: right | Time spent: 14.11s | Reached depth: 4 | Max tile: 16 | state: [[16, 8, 8, 8], [0, 2, 0, 0], [0, 0, 4, 0], [0, 0, 0, 0]]
Round: 21 | Move: right | Time spent: 6.16s | Reached depth: 4 | Max tile: 16 | state: [[0, 16, 8, 16], [0, 2, 0, 2], [0, 0, 0, 4], [0, 0, 0, 0]]
Round: 22 | Move: down  | Time spent: 0.33s | Reached depth: 3 | Max tile: 16 | state: [[0, 16, 8, 16], [0, 0, 0, 4], [2, 0, 0, 4], [0, 0, 0, 0]]
Round: 23 | Move: down  | Time spent: 0.48s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 2, 0], [0, 0, 0, 0], [0, 0, 0, 16], [2, 16, 8, 8]]
Round: 24 | Move: right | Time spent: 0.64s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [0, 0, 2, 16], [2, 16, 8, 8]]
Round: 25 | Move: down  | Time spent: 0.48s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [2, 0, 2, 16], [0, 2, 16, 16]]
Round: 26 | Move: down  | Time spent: 0.54s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 2, 0, 0], [0, 0, 2, 2], [2, 2, 16, 32]]
Round: 27 | Move: right | Time spent: 0.53s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 4, 0], [0, 0, 0, 0], [0, 0, 2, 2], [2, 4, 16, 32]]
Round: 28 | Move: left  | Time spent: 0.49s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 4], [0, 0, 0, 2], [0, 0, 0, 4], [2, 4, 16, 32]]
Round: 29 | Move: right | Time spent: 0.39s | Reached depth: 3 | Max tile: 32 | state: [[4, 0, 0, 0], [2, 0, 0, 2], [4, 0, 0, 0], [2, 4, 16, 32]]
Round: 30 | Move: down  | Time spent: 0.41s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 4], [2, 0, 0, 4], [0, 0, 0, 4], [2, 4, 16, 32]]
Round: 31 | Move: right | Time spent: 0.48s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 0, 0, 4], [0, 2, 0, 8], [4, 4, 16, 32]]
Round: 32 | Move: left  | Time spent: 0.31s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 2, 0, 4], [0, 0, 2, 8], [0, 8, 16, 32]]
Round: 33 | Move: down  | Time spent: 10.89s | Reached depth: 4 | Max tile: 32 | state: [[0, 0, 0, 0], [2, 4, 0, 0], [2, 8, 2, 0], [8, 16, 32, 0]]
Round: 34 | Move: up    | Time spent: 0.30s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 0, 0], [0, 4, 0, 0], [4, 8, 2, 0], [8, 16, 32, 0]]
Round: 35 | Move: left  | Time spent: 0.54s | Reached depth: 3 | Max tile: 32 | state: [[4, 2, 2, 0], [8, 4, 32, 0], [0, 8, 0, 2], [0, 16, 0, 0]]
Round: 36 | Move: down  | Time spent: 0.34s | Reached depth: 3 | Max tile: 32 | state: [[4, 4, 0, 0], [8, 4, 32, 0], [8, 2, 0, 0], [16, 0, 2, 0]]
Round: 37 | Move: left  | Time spent: 0.49s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 0, 0], [4, 0, 0, 0], [16, 8, 32, 0], [16, 2, 2, 0]]
Round: 38 | Move: up    | Time spent: 5.45s | Reached depth: 4 | Max tile: 32 | state: [[2, 0, 0, 0], [4, 0, 0, 0], [16, 8, 32, 0], [16, 4, 2, 0]]
Round: 39 | Move: left  | Time spent: 0.32s | Reached depth: 3 | Max tile: 32 | state: [[2, 8, 32, 0], [4, 4, 2, 0], [32, 2, 0, 0], [0, 0, 0, 0]]
Round: 40 | Move: down  | Time spent: 0.43s | Reached depth: 3 | Max tile: 32 | state: [[2, 8, 32, 0], [8, 2, 0, 0], [32, 2, 2, 0], [0, 0, 0, 0]]
Round: 41 | Move: down  | Time spent: 8.84s | Reached depth: 4 | Max tile: 32 | state: [[0, 0, 0, 0], [2, 0, 0, 2], [8, 8, 32, 0], [32, 4, 2, 0]]
Round: 42 | Move: down  | Time spent: 0.41s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 0, 0], [2, 0, 0, 0], [8, 8, 32, 0], [32, 4, 2, 2]]
Round: 43 | Move: left  | Time spent: 0.54s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 2], [2, 2, 0, 0], [8, 8, 32, 0], [32, 4, 2, 2]]
Round: 44 | Move: up    | Time spent: 5.29s | Reached depth: 4 | Max tile: 32 | state: [[2, 0, 0, 0], [4, 0, 0, 0], [16, 32, 2, 0], [32, 4, 4, 0]]
Round: 45 | Move: left  | Time spent: 2.43s | Reached depth: 4 | Max tile: 32 | state: [[2, 32, 2, 0], [4, 4, 4, 0], [16, 0, 0, 0], [32, 0, 2, 0]]
Round: 46 | Move: left  | Time spent: 2.85s | Reached depth: 4 | Max tile: 32 | state: [[2, 32, 2, 0], [8, 4, 0, 0], [16, 0, 0, 2], [32, 2, 0, 0]]
Round: 47 | Move: up    | Time spent: 2.82s | Reached depth: 4 | Max tile: 32 | state: [[2, 32, 2, 0], [8, 4, 0, 2], [16, 2, 0, 0], [32, 2, 0, 0]]
Round: 48 | Move: up    | Time spent: 9.42s | Reached depth: 4 | Max tile: 32 | state: [[2, 32, 2, 2], [8, 4, 0, 2], [16, 4, 0, 0], [32, 0, 0, 0]]
Round: 49 | Move: down  | Time spent: 0.33s | Reached depth: 3 | Max tile: 32 | state: [[2, 32, 2, 4], [8, 8, 0, 0], [16, 0, 0, 2], [32, 0, 0, 0]]
Round: 50 | Move: up    | Time spent: 3.36s | Reached depth: 4 | Max tile: 32 | state: [[2, 0, 0, 0], [8, 0, 4, 0], [16, 32, 0, 4], [32, 8, 2, 2]]
Round: 51 | Move: down  | Time spent: 4.52s | Reached depth: 4 | Max tile: 32 | state: [[2, 32, 4, 4], [8, 8, 2, 2], [16, 0, 0, 0], [32, 0, 2, 0]]
Round: 52 | Move: down  | Time spent: 1.33s | Reached depth: 4 | Max tile: 32 | state: [[2, 0, 0, 0], [8, 2, 0, 0], [16, 32, 4, 4], [32, 8, 4, 2]]
Round: 53 | Move: down  | Time spent: 1.31s | Reached depth: 4 | Max tile: 32 | state: [[2, 0, 0, 0], [8, 2, 2, 0], [16, 32, 0, 4], [32, 8, 8, 2]]
Round: 54 | Move: down  | Time spent: 1.92s | Reached depth: 4 | Max tile: 32 | state: [[2, 0, 0, 2], [8, 2, 0, 0], [16, 32, 2, 4], [32, 8, 8, 2]]
Round: 55 | Move: left  | Time spent: 1.43s | Reached depth: 4 | Max tile: 32 | state: [[2, 0, 2, 0], [8, 2, 0, 2], [16, 32, 2, 4], [32, 8, 8, 2]]
Round: 56 | Move: left  | Time spent: 2.57s | Reached depth: 4 | Max tile: 32 | state: [[4, 0, 0, 0], [8, 4, 0, 2], [16, 32, 2, 4], [32, 16, 2, 0]]
Round: 57 | Move: up    | Time spent: 1.78s | Reached depth: 4 | Max tile: 32 | state: [[4, 0, 0, 0], [8, 4, 2, 0], [16, 32, 2, 4], [32, 16, 2, 2]]
Round: 58 | Move: up    | Time spent: 9.60s | Reached depth: 4 | Max tile: 32 | state: [[4, 4, 4, 4], [8, 32, 2, 2], [16, 16, 2, 0], [32, 0, 0, 0]]
Round: 59 | Move: down  | Time spent: 2.89s | Reached depth: 4 | Max tile: 32 | state: [[4, 4, 4, 4], [8, 32, 4, 2], [16, 16, 0, 0], [32, 0, 0, 2]]
Round: 60 | Move: left  | Time spent: 1.39s | Reached depth: 4 | Max tile: 32 | state: [[4, 0, 0, 0], [8, 4, 0, 2], [16, 32, 0, 4], [32, 16, 8, 4]]
Round: 61 | Move: up    | Time spent: 0.84s | Reached depth: 4 | Max tile: 32 | state: [[4, 0, 0, 2], [8, 4, 2, 0], [16, 32, 4, 0], [32, 16, 8, 4]]
Round: 62 | Move: down  | Time spent: 1.46s | Reached depth: 4 | Max tile: 32 | state: [[4, 4, 2, 2], [8, 32, 4, 4], [16, 16, 8, 0], [32, 0, 2, 0]]
Round: 63 | Move: left  | Time spent: 0.68s | Reached depth: 4 | Max tile: 32 | state: [[4, 0, 2, 2], [8, 4, 4, 0], [16, 32, 8, 2], [32, 16, 2, 4]]
Round: 64 | Move: up    | Time spent: 0.80s | Reached depth: 4 | Max tile: 32 | state: [[4, 4, 0, 0], [8, 8, 0, 2], [16, 32, 8, 2], [32, 16, 2, 4]]
Round: 65 | Move: up    | Time spent: 0.88s | Reached depth: 4 | Max tile: 32 | state: [[4, 4, 8, 4], [8, 8, 2, 4], [16, 32, 0, 0], [32, 16, 0, 2]]
Round: 66 | Move: up    | Time spent: 1.44s | Reached depth: 4 | Max tile: 32 | state: [[4, 4, 8, 8], [8, 8, 2, 2], [16, 32, 2, 0], [32, 16, 0, 0]]
Round: 67 | Move: left  | Time spent: 0.61s | Reached depth: 4 | Max tile: 32 | state: [[4, 4, 8, 8], [8, 8, 4, 2], [16, 32, 2, 0], [32, 16, 0, 0]]
Round: 68 | Move: left  | Time spent: 0.85s | Reached depth: 4 | Max tile: 32 | state: [[8, 16, 0, 0], [16, 4, 2, 0], [16, 32, 2, 0], [32, 16, 0, 2]]
Round: 69 | Move: left  | Time spent: 0.65s | Reached depth: 4 | Max tile: 32 | state: [[8, 16, 0, 2], [16, 4, 2, 0], [16, 32, 2, 0], [32, 16, 2, 0]]
Round: 70 | Move: left  | Time spent: 0.51s | Reached depth: 4 | Max tile: 32 | state: [[8, 16, 2, 0], [16, 4, 2, 0], [16, 32, 2, 2], [32, 16, 2, 0]]
Round: 71 | Move: down  | Time spent: 1.18s | Reached depth: 4 | Max tile: 32 | state: [[8, 16, 2, 0], [16, 4, 2, 0], [16, 32, 4, 2], [32, 16, 2, 0]]
Round: 72 | Move: left  | Time spent: 1.87s | Reached depth: 4 | Max tile: 32 | state: [[0, 16, 0, 2], [8, 4, 4, 0], [32, 32, 4, 0], [32, 16, 2, 2]]
Round: 73 | Move: down  | Time spent: 1.69s | Reached depth: 4 | Max tile: 64 | state: [[16, 2, 0, 0], [8, 8, 2, 0], [64, 4, 0, 0], [32, 16, 4, 0]]
Round: 74 | Move: down  | Time spent: 0.48s | Reached depth: 4 | Max tile: 64 | state: [[16, 2, 0, 0], [8, 8, 2, 0], [64, 4, 2, 0], [32, 16, 4, 0]]
Round: 75 | Move: down  | Time spent: 1.44s | Reached depth: 4 | Max tile: 64 | state: [[16, 2, 0, 0], [8, 8, 0, 0], [64, 4, 4, 2], [32, 16, 4, 0]]
Round: 76 | Move: left  | Time spent: 1.97s | Reached depth: 4 | Max tile: 64 | state: [[16, 2, 0, 0], [8, 8, 2, 0], [64, 4, 0, 0], [32, 16, 8, 2]]
Round: 77 | Move: down  | Time spent: 9.60s | Reached depth: 4 | Max tile: 64 | state: [[16, 2, 4, 0], [16, 2, 0, 0], [64, 4, 0, 0], [32, 16, 8, 2]]
Round: 78 | Move: up    | Time spent: 0.30s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 0], [32, 4, 0, 0], [64, 4, 4, 2], [32, 16, 8, 2]]
Round: 79 | Move: left  | Time spent: 5.89s | Reached depth: 4 | Max tile: 64 | state: [[32, 8, 4, 4], [64, 16, 8, 0], [32, 0, 0, 0], [0, 0, 0, 2]]
Round: 80 | Move: left  | Time spent: 1.46s | Reached depth: 4 | Max tile: 64 | state: [[32, 8, 8, 2], [64, 16, 8, 0], [32, 0, 0, 0], [2, 0, 0, 0]]
Round: 81 | Move: left  | Time spent: 1.39s | Reached depth: 4 | Max tile: 64 | state: [[32, 16, 2, 0], [64, 16, 8, 0], [32, 0, 0, 0], [2, 2, 0, 0]]
Round: 82 | Move: left  | Time spent: 1.35s | Reached depth: 4 | Max tile: 64 | state: [[32, 16, 2, 0], [64, 16, 8, 0], [32, 0, 2, 0], [4, 0, 0, 0]]
Round: 83 | Move: left  | Time spent: 2.57s | Reached depth: 4 | Max tile: 64 | state: [[32, 16, 2, 0], [64, 16, 8, 0], [32, 2, 0, 0], [4, 0, 0, 2]]
Round: 84 | Move: down  | Time spent: 2.97s | Reached depth: 4 | Max tile: 64 | state: [[32, 16, 2, 0], [64, 16, 8, 2], [32, 2, 0, 0], [4, 2, 0, 0]]
Round: 85 | Move: left  | Time spent: 4.36s | Reached depth: 4 | Max tile: 64 | state: [[32, 0, 0, 0], [64, 0, 2, 0], [32, 32, 2, 0], [4, 4, 8, 2]]
Round: 86 | Move: up    | Time spent: 0.38s | Reached depth: 3 | Max tile: 64 | state: [[32, 0, 0, 0], [64, 2, 0, 0], [64, 2, 2, 0], [8, 8, 2, 0]]
Round: 87 | Move: up    | Time spent: 0.34s | Reached depth: 3 | Max tile: 128 | state: [[32, 4, 4, 0], [128, 8, 0, 2], [8, 0, 0, 0], [0, 0, 0, 0]]
Round: 88 | Move: left  | Time spent: 0.58s | Reached depth: 3 | Max tile: 128 | state: [[32, 4, 4, 2], [128, 8, 2, 0], [8, 0, 0, 0], [0, 0, 0, 0]]
Round: 89 | Move: left  | Time spent: 2.55s | Reached depth: 4 | Max tile: 128 | state: [[32, 8, 2, 0], [128, 8, 2, 0], [8, 0, 0, 0], [0, 0, 2, 0]]
Round: 90 | Move: left  | Time spent: 11.29s | Reached depth: 4 | Max tile: 128 | state: [[32, 8, 2, 0], [128, 8, 2, 0], [8, 0, 0, 0], [2, 0, 0, 2]]
Round: 91 | Move: up    | Time spent: 4.64s | Reached depth: 4 | Max tile: 128 | state: [[32, 8, 2, 0], [128, 8, 2, 0], [8, 0, 0, 0], [4, 0, 2, 0]]
Round: 92 | Move: down  | Time spent: 2.55s | Reached depth: 4 | Max tile: 128 | state: [[32, 16, 4, 2], [128, 0, 2, 0], [8, 0, 0, 0], [4, 0, 0, 0]]
Round: 93 | Move: up    | Time spent: 2.83s | Reached depth: 4 | Max tile: 128 | state: [[32, 0, 0, 2], [128, 0, 0, 0], [8, 0, 4, 0], [4, 16, 2, 2]]
Round: 94 | Move: left  | Time spent: 3.40s | Reached depth: 4 | Max tile: 128 | state: [[32, 16, 4, 4], [128, 0, 2, 0], [8, 2, 0, 0], [4, 0, 0, 0]]
Round: 95 | Move: up    | Time spent: 2.13s | Reached depth: 4 | Max tile: 128 | state: [[32, 16, 8, 0], [128, 2, 2, 0], [8, 2, 0, 0], [4, 0, 0, 0]]
Round: 96 | Move: down  | Time spent: 1.32s | Reached depth: 4 | Max tile: 128 | state: [[32, 16, 8, 0], [128, 4, 2, 0], [8, 0, 0, 0], [4, 0, 2, 0]]
Round: 97 | Move: left  | Time spent: 1.84s | Reached depth: 4 | Max tile: 128 | state: [[32, 0, 0, 0], [128, 0, 2, 0], [8, 16, 8, 0], [4, 4, 4, 0]]
Round: 98 | Move: left  | Time spent: 1.71s | Reached depth: 4 | Max tile: 128 | state: [[32, 0, 0, 0], [128, 2, 0, 4], [8, 16, 8, 0], [8, 4, 0, 0]]
Round: 99 | Move: up    | Time spent: 3.05s | Reached depth: 4 | Max tile: 128 | state: [[32, 2, 0, 0], [128, 2, 4, 0], [8, 16, 8, 0], [8, 4, 0, 0]]
Round: 100 | Move: right | Time spent: 0.36s | Reached depth: 3 | Max tile: 128 | state: [[32, 4, 4, 0], [128, 16, 8, 0], [16, 4, 0, 0], [0, 0, 2, 0]]
