Round: 1 | Move: up    | Time spent: 0.55s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 0], [2, 0, 0, 0], [0, 2, 0, 0], [0, 0, 0, 0]]
Round: 2 | Move: up    | Time spent: 0.38s | Reached depth: 3 | Max tile: 2 | state: [[2, 2, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [2, 0, 0, 0]]
Round: 3 | Move: down  | Time spent: 0.49s | Reached depth: 3 | Max tile: 4 | state: [[4, 2, 0, 0], [0, 2, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 4 | Move: down  | Time spent: 0.36s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 4, 0], [4, 4, 0, 0]]
Round: 5 | Move: left  | Time spent: 0.34s | Reached depth: 3 | Max tile: 4 | state: [[0, 2, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [4, 4, 4, 0]]
Round: 6 | Move: right | Time spent: 0.78s | Reached depth: 3 | Max tile: 8 | state: [[2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [8, 4, 0, 2]]
Round: 7 | Move: down  | Time spent: 0.31s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 4, 2], [0, 0, 0, 0], [0, 0, 0, 0], [0, 8, 4, 2]]
Round: 8 | Move: down  | Time spent: 0.38s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 2, 0, 0], [0, 0, 0, 0], [0, 8, 8, 4]]
Round: 9 | Move: down  | Time spent: 0.15s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 0, 2, 0], [0, 2, 0, 0], [0, 8, 8, 4]]
Round: 10 | Move: down  | Time spent: 0.13s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 2, 0, 0], [0, 2, 2, 0], [0, 8, 8, 4]]
Round: 11 | Move: down  | Time spent: 0.29s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 2], [0, 0, 0, 0], [0, 4, 2, 0], [0, 8, 8, 4]]
Round: 12 | Move: down  | Time spent: 0.18s | Reached depth: 3 | Max tile: 8 | state: [[0, 2, 0, 0], [0, 0, 0, 0], [0, 4, 2, 2], [0, 8, 8, 4]]
Round: 13 | Move: left  | Time spent: 0.32s | Reached depth: 3 | Max tile: 8 | state: [[2, 0, 0, 0], [0, 2, 0, 0], [0, 4, 2, 2], [0, 8, 8, 4]]
Round: 14 | Move: up    | Time spent: 0.81s | Reached depth: 3 | Max tile: 16 | state: [[2, 0, 0, 0], [2, 0, 2, 0], [4, 4, 0, 0], [16, 4, 0, 0]]
Round: 15 | Move: up    | Time spent: 0.91s | Reached depth: 3 | Max tile: 16 | state: [[4, 8, 2, 0], [4, 0, 0, 0], [16, 0, 0, 0], [0, 2, 0, 0]]
Round: 16 | Move: up    | Time spent: 0.29s | Reached depth: 3 | Max tile: 16 | state: [[8, 8, 2, 0], [16, 2, 0, 0], [0, 0, 0, 0], [0, 4, 0, 0]]
Round: 17 | Move: up    | Time spent: 0.29s | Reached depth: 3 | Max tile: 16 | state: [[8, 8, 2, 0], [16, 2, 0, 0], [0, 4, 0, 2], [0, 0, 0, 0]]
Round: 18 | Move: up    | Time spent: 0.55s | Reached depth: 3 | Max tile: 16 | state: [[8, 8, 2, 2], [16, 2, 0, 0], [0, 4, 0, 0], [0, 0, 0, 2]]
Round: 19 | Move: left  | Time spent: 0.33s | Reached depth: 3 | Max tile: 16 | state: [[8, 8, 2, 4], [16, 2, 0, 0], [0, 4, 0, 0], [4, 0, 0, 0]]
Round: 20 | Move: down  | Time spent: 0.31s | Reached depth: 3 | Max tile: 16 | state: [[16, 2, 4, 2], [16, 2, 0, 0], [4, 0, 0, 0], [4, 0, 0, 0]]
Round: 21 | Move: down  | Time spent: 0.75s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 2, 0, 0], [32, 0, 0, 0], [8, 4, 4, 2]]
Round: 22 | Move: up    | Time spent: 0.54s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 2, 0], [0, 0, 0, 0], [32, 2, 0, 0], [8, 4, 4, 2]]
